metric,sector,vendor_pair,quissly_mean,other_mean,observed_diff,ci_low,ci_high,p_raw,p_holm,significant_after_holm,within_noise,n_queries,n_replicates,seed
effective_zero_rate,auto,quissly_vs_algolia,0.000000,0.266667,-0.266667,-0.333333,-0.205556,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,cosmetics,quissly_vs_algolia,0.016667,0.305556,-0.288889,-0.355556,-0.222222,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,electronics,quissly_vs_algolia,0.022222,0.261111,-0.238889,-0.300000,-0.177778,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,fast_fashion,quissly_vs_algolia,0.083333,0.472222,-0.388889,-0.461111,-0.316667,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,furniture,quissly_vs_algolia,0.016760,0.279330,-0.262570,-0.329609,-0.201117,0.000000,0.000000,True,False,179,10000,42
effective_zero_rate,marketplace,quissly_vs_algolia,0.238889,0.583333,-0.344444,-0.416667,-0.272222,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,pharmacy,quissly_vs_algolia,0.138889,0.483333,-0.344444,-0.422222,-0.266667,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,tier_simple,quissly_vs_algolia,0.021053,0.058947,-0.037895,-0.056842,-0.021053,0.000200,0.003600,True,False,475,10000,42
effective_zero_rate,tier_medium,quissly_vs_algolia,0.085288,0.309168,-0.223881,-0.266525,-0.181237,0.000000,0.000000,True,False,469,10000,42
effective_zero_rate,tier_complex,quissly_vs_algolia,0.136508,0.965079,-0.828571,-0.869841,-0.784127,0.000000,0.000000,True,False,315,10000,42
effective_zero_rate,pooled,quissly_vs_algolia,0.073868,0.378872,-0.305004,-0.331215,-0.278793,0.000000,0.000000,True,False,1259,10000,42
effective_zero_rate,auto,quissly_vs_clerk,0.000000,0.066667,-0.066667,-0.105556,-0.033333,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,cosmetics,quissly_vs_clerk,0.016667,0.055556,-0.038889,-0.066667,-0.011111,0.002600,0.023400,True,False,180,10000,42
effective_zero_rate,electronics,quissly_vs_clerk,0.022222,0.094444,-0.072222,-0.111111,-0.038889,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,fast_fashion,quissly_vs_clerk,0.083333,0.277778,-0.194444,-0.261111,-0.127778,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,furniture,quissly_vs_clerk,0.016760,0.094972,-0.078212,-0.117318,-0.039106,0.000000,0.000000,True,False,179,10000,42
effective_zero_rate,marketplace,quissly_vs_clerk,0.238889,0.466667,-0.227778,-0.300000,-0.161111,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,pharmacy,quissly_vs_clerk,0.138889,0.327778,-0.188889,-0.266667,-0.111111,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,tier_simple,quissly_vs_clerk,0.021053,0.052632,-0.031579,-0.048421,-0.014737,0.000000,0.000000,True,False,475,10000,42
effective_zero_rate,tier_medium,quissly_vs_clerk,0.085288,0.217484,-0.132196,-0.166311,-0.098081,0.000000,0.000000,True,False,469,10000,42
effective_zero_rate,tier_complex,quissly_vs_clerk,0.136508,0.387302,-0.250794,-0.307937,-0.193651,0.000000,0.000000,True,False,315,10000,42
effective_zero_rate,pooled,quissly_vs_clerk,0.073868,0.197776,-0.123908,-0.144559,-0.103257,0.000000,0.000000,True,False,1259,10000,42
effective_zero_rate,auto,quissly_vs_doofinder,0.000000,0.022222,-0.022222,-0.044444,-0.005556,0.034000,0.204000,False,True,180,10000,42
effective_zero_rate,cosmetics,quissly_vs_doofinder,0.016667,0.027778,-0.011111,-0.027778,0.000000,0.265600,1.000000,False,True,180,10000,42
effective_zero_rate,electronics,quissly_vs_doofinder,0.022222,0.022222,0.000000,-0.016667,0.016667,1.000000,1.000000,False,True,180,10000,42
effective_zero_rate,fast_fashion,quissly_vs_doofinder,0.083333,0.161111,-0.077778,-0.138889,-0.022222,0.009400,0.065800,False,True,180,10000,42
effective_zero_rate,furniture,quissly_vs_doofinder,0.016760,0.027933,-0.011173,-0.027933,0.000000,0.266400,1.000000,False,True,179,10000,42
effective_zero_rate,marketplace,quissly_vs_doofinder,0.238889,0.261111,-0.022222,-0.088889,0.044444,0.550600,1.000000,False,True,180,10000,42
effective_zero_rate,pharmacy,quissly_vs_doofinder,0.138889,0.305556,-0.166667,-0.238889,-0.100000,0.000000,0.000000,True,False,180,10000,42
effective_zero_rate,tier_simple,quissly_vs_doofinder,0.021053,0.056842,-0.035789,-0.054737,-0.018947,0.000000,0.000000,True,False,475,10000,42
effective_zero_rate,tier_medium,quissly_vs_doofinder,0.085288,0.138593,-0.053305,-0.081023,-0.025586,0.000000,0.000000,True,False,469,10000,42
effective_zero_rate,tier_complex,quissly_vs_doofinder,0.136508,0.180952,-0.044444,-0.092063,0.000000,0.069200,0.346000,False,True,315,10000,42
effective_zero_rate,pooled,quissly_vs_doofinder,0.073868,0.118348,-0.044480,-0.061954,-0.027006,0.000000,0.000000,True,False,1259,10000,42
