source,metric,sector,vendor_pair,quissly_mean,other_mean,observed_diff,ci_low,ci_high,p_raw,p_holm_236,significant_236,n_queries,n_replicates,seed
original_grid,precision_at_10,auto,quissly_vs_algolia,0.686067,0.487434,0.198632,0.148407,0.248127,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,cosmetics,quissly_vs_algolia,0.680486,0.501318,0.179168,0.133432,0.227733,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,electronics,quissly_vs_algolia,0.619467,0.403337,0.216130,0.168367,0.266092,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,fast_fashion,quissly_vs_algolia,0.524017,0.370233,0.153783,0.102854,0.207741,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,furniture,quissly_vs_algolia,0.614631,0.440264,0.174367,0.129037,0.220235,0.000000,0.000000,True,179,10000,42
original_grid,precision_at_10,marketplace,quissly_vs_algolia,0.345342,0.200402,0.144940,0.103672,0.188442,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,pharmacy,quissly_vs_algolia,0.475383,0.305882,0.169502,0.113226,0.225817,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,pooled,quissly_vs_algolia,0.563587,0.386939,0.176648,0.157623,0.195105,0.000000,0.000000,True,1259,10000,42
original_grid,precision_at_10,auto,quissly_vs_clerk,0.686067,0.522414,0.163653,0.121968,0.206926,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,cosmetics,quissly_vs_clerk,0.680486,0.542102,0.138384,0.097217,0.178874,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,electronics,quissly_vs_clerk,0.619467,0.422295,0.197172,0.152005,0.244613,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,fast_fashion,quissly_vs_clerk,0.524017,0.384662,0.139355,0.097426,0.182806,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,furniture,quissly_vs_clerk,0.614631,0.475923,0.138708,0.093254,0.185587,0.000000,0.000000,True,179,10000,42
original_grid,precision_at_10,marketplace,quissly_vs_clerk,0.345342,0.223313,0.122028,0.083246,0.164151,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,pharmacy,quissly_vs_clerk,0.475383,0.324173,0.151211,0.092396,0.211526,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,pooled,quissly_vs_clerk,0.563587,0.413505,0.150082,0.133225,0.167438,0.000000,0.000000,True,1259,10000,42
original_grid,precision_at_10,auto,quissly_vs_doofinder,0.686067,0.549347,0.136719,0.097149,0.176999,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,cosmetics,quissly_vs_doofinder,0.680486,0.592703,0.087783,0.055315,0.121291,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,electronics,quissly_vs_doofinder,0.619467,0.445827,0.173639,0.128705,0.217331,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,fast_fashion,quissly_vs_doofinder,0.524017,0.409656,0.114361,0.070159,0.159334,0.000000,0.000000,True,180,10000,42
original_grid,precision_at_10,furniture,quissly_vs_doofinder,0.614631,0.507645,0.106987,0.070547,0.145487,0.000000,0.000000,True,179,10000,42
original_grid,precision_at_10,marketplace,quissly_vs_doofinder,0.345342,0.291217,0.054125,0.021098,0.090574,0.001200,0.012000,True,180,10000,42
