Engine Name,Category,Complexity,Zero-Result Rate (%),Precision@10 (%),Precision@20 (%),Query Count
algolia,marketplace,complex,100.0,0.0,0.0,45
algolia,marketplace,medium,64.18,9.97,8.94,67
algolia,marketplace,simple,1.47,43.23,41.18,68
clerk,marketplace,complex,2.22,2.78,2.65,45
clerk,marketplace,medium,0.0,9.61,8.87,67
clerk,marketplace,simple,0.0,47.8,44.63,68
doofinder,marketplace,complex,0.0,9.0,5.85,45
doofinder,marketplace,medium,0.0,14.13,11.79,67
doofinder,marketplace,simple,0.0,57.2,52.69,68
luigisbox,marketplace,complex,86.67,0.22,0.22,45
luigisbox,marketplace,medium,23.88,16.95,15.8,67
luigisbox,marketplace,simple,1.47,53.15,51.38,68
quissly,marketplace,complex,40.0,25.0,24.65,45
quissly,marketplace,medium,11.94,12.75,9.52,67
quissly,marketplace,simple,0.0,62.3,59.5,68
